City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,carutapera,100,BR,1581184125,81,-1.2,-46.02,78.62,19.39
1,soloneshnoye,100,RU,1581184236,71,51.65,84.32,28.36,8.68
2,bima,100,ID,1581184236,97,-8.47,118.72,73.36,2.86
3,puerto ayora,20,EC,1581184049,66,-0.74,-90.35,84.2,17.22
4,kapaa,75,US,1581184236,72,22.08,-159.32,69.8,4.7
5,carnot,100,CF,1581184236,21,4.94,15.87,82.92,5.28
6,sao joao da barra,40,BR,1581184236,62,-21.64,-41.05,86.0,11.41
7,axim,24,GH,1581184236,71,4.87,-2.24,83.23,8.3
8,xining,100,CN,1581184236,69,36.62,101.77,18.82,0.81
9,busselton,10,AU,1581184236,56,-33.65,115.33,57.0,11.39
10,avarua,97,CK,1581184236,83,-21.21,-159.78,80.6,12.75
11,punta arenas,0,CL,1581184236,67,-53.15,-70.92,71.6,10.29
12,hobart,90,AU,1581184236,67,-42.88,147.33,57.99,3.36
13,amqui,75,CA,1581184236,60,48.46,-67.43,14.0,12.75
14,victoria,20,HK,1581184132,67,22.29,114.16,62.6,3.36
15,kruisfontein,10,ZA,1581184236,83,-34.0,24.73,68.67,13.18
16,zhezkazgan,100,KZ,1581184236,95,47.8,67.71,34.07,4.43
17,lebu,0,CL,1581184078,30,-37.62,-73.65,78.26,9.08
18,barrow,20,US,1581184237,98,71.29,-156.79,-38.2,9.17
19,nelson bay,90,AU,1581183998,94,-32.72,152.15,70.0,23.04
20,cape town,50,ZA,1581184237,73,-33.93,18.42,75.0,10.29
21,itoman,75,JP,1581184237,55,26.12,127.67,60.8,23.04
22,provideniya,34,RU,1581184087,90,64.38,-173.3,-21.14,12.53
23,castro,39,BR,1581184237,79,-24.79,-50.01,76.28,4.61
24,khatanga,66,RU,1581184237,96,71.97,102.5,-11.38,4.94
25,rikitea,62,PF,1581184237,78,-23.12,-134.97,78.12,16.55
26,albany,75,US,1581183987,57,42.6,-73.97,30.99,16.11
27,georgetown,40,MY,1581184237,83,5.41,100.34,80.6,2.24
28,atuona,0,PF,1581184237,74,-9.8,-139.03,80.51,18.66
29,mataura,98,NZ,1581184237,94,-46.19,168.86,52.0,15.99
30,bredasdorp,37,ZA,1581184237,78,-34.53,20.04,75.99,12.75
31,dikson,94,RU,1581184237,94,73.51,80.55,-8.7,16.62
32,hermanus,58,ZA,1581184237,71,-34.42,19.23,75.99,1.01
33,maslovare,12,BA,1581184237,74,44.57,17.53,37.4,2.24
34,mackay,40,AU,1581184237,100,-21.15,149.2,73.0,3.36
35,nome,75,US,1581184237,57,64.5,-165.41,-11.2,6.93
36,butaritari,99,KI,1581184237,79,3.07,172.79,83.82,22.7
37,nosy varika,34,MG,1581184237,88,-20.58,48.53,76.1,3.47
38,qaanaaq,0,GL,1581184237,67,77.48,-69.36,-25.28,5.06
39,comodoro rivadavia,75,AR,1581184237,72,-45.87,-67.5,60.8,5.82
40,leningradskiy,100,RU,1581184237,94,69.38,178.42,-20.22,21.9
41,new norfolk,90,AU,1581184237,67,-42.78,147.06,57.99,3.36
42,yazman,0,PK,1581184237,21,29.12,71.74,63.9,6.89
43,ushuaia,0,AR,1581184046,45,-54.8,-68.3,66.2,4.5
44,saint-philippe,2,RE,1581184237,78,-21.36,55.77,78.8,5.82
45,valverde del camino,54,ES,1581184238,82,37.58,-6.75,63.0,4.0
46,tasiilaq,90,GL,1581184066,83,65.61,-37.64,32.0,40.26
47,naze,90,JP,1581184238,62,28.37,129.48,59.0,21.92
48,kidal,41,ML,1581184238,10,18.44,1.41,74.71,11.43
49,durango,49,MX,1581184238,17,24.83,-104.83,60.51,2.8
50,tabou,33,CI,1581184238,75,4.42,-7.35,82.35,6.76
51,lasa,99,IT,1581184238,54,46.62,10.7,42.8,5.82
52,robstown,90,US,1581184238,64,27.79,-97.67,75.2,12.75
53,havoysund,100,NO,1581184031,86,71.0,24.66,39.2,18.34
54,bend,75,US,1581184238,59,44.06,-121.32,43.0,6.93
55,mahebourg,75,MU,1581184081,83,-20.41,57.7,78.8,9.17
56,honiara,40,SB,1581184118,83,-9.43,159.95,80.6,6.93
57,maamba,100,ZM,1581184238,99,-17.37,27.15,68.74,4.61
58,saint-pierre,4,RE,1581184089,78,-21.34,55.48,78.8,5.82
59,srednekolymsk,2,RU,1581184238,90,67.45,153.68,-35.66,2.28
60,hasaki,20,JP,1581184238,55,35.73,140.83,33.8,9.17
61,almeirim,84,BR,1581184238,57,-1.52,-52.58,89.24,3.98
62,san cristobal,20,VE,1581184156,52,7.77,-72.22,87.8,8.05
63,rapid city,80,US,1581184238,68,44.08,-103.23,37.99,3.36
64,zharkent,25,KZ,1581184238,65,44.16,80.0,25.3,1.61
65,touros,40,BR,1581184238,52,-5.2,-35.46,89.6,13.87
66,porto novo,6,BJ,1581183985,58,6.5,2.6,86.0,11.41
67,torbay,75,CA,1581184239,68,47.67,-52.73,32.0,43.62
68,ambon,100,ID,1581184239,76,-3.7,128.18,82.11,9.86
69,vaini,20,TO,1581184036,94,-21.2,-175.2,78.8,5.82
70,eyl,32,SO,1581184239,75,7.98,49.82,76.95,20.29
71,cidreira,30,BR,1581184239,86,-30.18,-50.21,78.12,17.45
72,bandarban,61,BD,1581184239,36,22.2,92.23,65.39,5.41
73,kwinana,17,AU,1581184239,72,-32.25,115.77,64.4,17.22
74,east london,40,ZA,1581184239,88,-33.02,27.91,69.8,1.12
75,kazachinskoye,100,RU,1581184239,98,57.7,93.28,34.05,13.51
76,hilo,1,US,1581184239,67,19.73,-155.09,62.01,5.82
77,vyazemskiy,90,RU,1581184239,99,47.54,134.75,-12.5,0.69
78,saskylakh,99,RU,1581184239,98,71.92,114.08,-7.96,2.48
79,henties bay,14,NA,1581184239,83,-22.12,14.28,66.99,5.01
80,assiniboia,100,CA,1581184239,90,49.63,-105.98,22.14,4.65
81,kodiak,75,US,1581184239,77,57.79,-152.41,39.2,6.93
82,sao felix do xingu,100,BR,1581184239,99,-6.64,-51.99,71.55,1.77
83,ciro marina,0,IT,1581184239,66,39.37,17.13,48.2,1.12
84,yellowknife,40,CA,1581184239,76,62.46,-114.35,-5.01,6.93
85,margate,50,GB,1581184239,65,51.38,1.39,46.99,16.11
86,ponta do sol,40,PT,1581184239,72,32.67,-17.1,66.2,9.17
87,mayo,40,US,1581184239,38,38.89,-76.51,45.0,10.29
88,bluff,99,NZ,1581184239,94,-46.6,168.33,52.0,15.99
89,sept-iles,20,CA,1581184117,42,50.2,-66.38,10.0,13.87
90,trujillo,20,PE,1581184122,83,-8.12,-79.03,73.4,8.05
91,port macquarie,75,AU,1581184023,94,-31.43,152.92,71.6,2.24
92,manitouwadge,90,CA,1581184240,84,49.12,-85.84,6.8,3.36
93,san patricio,40,MX,1581184240,78,19.22,-104.7,82.4,2.8
94,nuuk,75,GL,1581184059,66,64.18,-51.72,14.0,13.87
95,dunedin,100,NZ,1581184130,70,-45.87,170.5,51.01,3.0
96,bambous virieux,75,MU,1581184084,83,-20.34,57.76,78.8,9.17
